   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810          tsl         lockdu  
<closed file '/home/qitlab/programs/nsp_trigger/exp_data/2017_03_09_17_52/lock.log', mode 'ab' at 0x7f42f01a8b70>   761.46     761.46      0.06       0.06       8.18       8.18      -4.97      -4.97        0          0      Thu, 09 Mar 2017 17:53:46     0     
<closed file '/home/qitlab/programs/nsp_trigger/exp_data/2017_03_09_17_52/lock.log', mode 'ab' at 0x7f42f01a8c00>   760.08     760.08      0.06       0.06       8.18       8.18      -4.97      -4.97        0          0      Thu, 09 Mar 2017 17:54:38     0     
