   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
  264.0      927.51     927.51      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        451000      00:47:56         0     
  264.0      905.95     905.95      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        451000      00:48:41         0     
  354.0      917.67     917.67      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        451000      00:53:02         0     
  380.0      900.80     900.80      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        451000      00:57:17         0     
  390.0      902.29     902.29      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        451000      01:01:22         0     
  424.0      920.43     920.43      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        446000      01:05:47         0     
  424.0      917.71     917.71      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        446000      01:06:32         0     
