264.000 127.780 12.482 965.750 37.492
284.000 183.810 16.911 949.420 33.029
304.000 261.270 23.696 935.190 31.930
324.000 384.330 29.414 869.970 32.634
344.000 568.170 39.370 784.980 30.899
354.000 737.400 38.400 702.110 22.729
364.000 835.240 38.676 640.610 30.138
369.000 854.410 36.605 610.880 23.667
374.000 895.930 39.007 589.230 27.209
378.000 946.400 42.059 583.740 26.746
380.000 914.520 39.633 585.650 25.359
382.000 924.300 38.322 593.670 25.339
384.000 934.080 41.358 582.330 23.784
386.000 959.090 40.408 581.180 30.010
388.000 920.120 36.838 574.850 22.912
390.000 913.000 50.980 587.480 25.880
394.000 929.140 34.309 587.440 30.191
399.000 857.300 45.487 601.970 25.918
404.000 819.120 36.888 631.030 27.418
414.000 733.450 34.532 689.510 31.398
424.000 574.380 35.576 756.610 31.231
444.000 383.340 32.383 851.950 31.933
464.000 268.480 25.142 909.500 29.637
484.000 188.620 15.694 956.150 30.198
504.000 144.550 15.765 972.470 32.856
