   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
  264.0      704.67     704.67      0.06       0.06       8.21       8.21      -5.04      -5.04        0          0        455000      10:41:09         0     
  264.0      738.21     738.21      0.06       0.06       8.21       8.21      -5.04      -5.04        0          0        455000      10:42:01         0     
  354.0      738.06     738.06      0.06       0.06       8.21       8.21      -5.04      -5.04        0          0        461000      10:47:43         0     
  354.0      717.95     717.95      0.06       0.06       8.21       8.21      -5.04      -5.04        0          0        461000      10:48:36         0     
  380.0      595.67     680.54      0.06       0.06       8.21       8.24      -5.04      -5.03        4          4        454000      10:54:00         85    
  380.0      649.82     676.40      0.06       0.06       8.24       8.25      -5.03      -5.03        1          1        454000      10:56:18         24    
  380.0      663.70     663.70      0.06       0.06       8.25       8.25      -5.03      -5.03        0          0        454000      10:57:35         0     
  390.0      620.59     666.50      0.06       0.06       8.25       8.27      -5.03      -5.02        2          2        454000      11:02:34         45    
  390.0      664.65     664.65      0.06       0.06       8.27       8.27      -5.02      -5.02        0          0        454000      11:04:11         0     
  424.0      639.10     675.06      0.06       0.06       8.27       8.28      -5.02      -5.01        0          0        454000      11:09:26         33    
