   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
  264.0      947.18     947.18      0.06       0.06       8.14       8.14      -4.97      -4.97        0          0        452000      17:44:49         0     
  264.0      966.85     966.85      0.06       0.06       8.14       8.14      -4.97      -4.97        0          0        455000      17:45:44         0     
  264.0      965.04     965.04      0.06       0.06       8.14       8.14      -4.97      -4.97        0          0        455000      17:46:36         0     
  354.0      975.69     975.69      0.06       0.06       8.14       8.14      -4.97      -4.97        0          0        455000      17:50:58         0     
  380.0      962.16     962.16      0.06       0.06       8.14       8.14      -4.97      -4.97        0          0        451000      17:55:00         0     
  380.0      929.41     950.04      0.06       0.06       8.14       8.14      -4.97      -4.97        0          0        451000      17:55:52         13    
  390.0      957.47     957.47      0.06       0.06       8.14       8.14      -4.97      -4.97        0          0        451000      18:00:25         0     
  424.0      944.56     944.56      0.06       0.06       8.14       8.14      -4.97      -4.97        0          0        451000      18:04:42         0     
