   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
  264.0      891.85     813.31      0.06       0.06       8.29       8.27      -4.92       -4.9        2          2        481000      13:33:06         45    
  264.0      804.57     804.57      0.06       0.06       8.27       8.27       -4.9       -4.9        0          0        486000      13:34:46         0     
  264.0      827.59     827.59      0.06       0.06       8.27       8.27       -4.9       -4.9        0          0        486000      13:35:38         0     
  354.0      853.38     808.11      0.06       0.06       8.27       8.25       -4.9       -4.9        2          2        486000      13:39:43         45    
  354.0      792.78     792.78      0.06       0.06       8.25       8.25       -4.9       -4.9        0          0        486000      13:41:20         0     
  380.0      887.43     808.02      0.06       0.06       8.25       8.24       -4.9      -4.89        1          1        486000      13:45:27         24    
  380.0      880.48     814.00      0.06       0.06       8.24       8.24      -4.89      -4.89        0          0        489000      13:46:47         8     
  380.0      849.00     842.24      0.06       0.06       8.24       8.24      -4.89      -4.89        0          0        489000      13:47:48         4     
  390.0      885.56     846.80      0.06       0.06       8.24       8.23      -4.89      -4.88        1          1        493000      13:51:58         24    
  390.0      848.20     837.90      0.06       0.06       8.23       8.23      -4.88      -4.87        0          0        493000      13:53:15         29    
  424.0      846.06     846.06      0.06       0.06       8.23       8.23      -4.87      -4.87        0          0        500000      13:57:42         0     
  424.0      875.94     814.15      0.06       0.06       8.23       8.22      -4.87      -4.86        1          1        500000      13:58:35         24    
  424.0      852.41     834.00      0.06       0.06       8.22       8.22      -4.86      -4.86        0          0        504000      13:59:54         4     
  424.0      827.17     827.17      0.06       0.06       8.22       8.22      -4.86      -4.86        0          0        504000      14:00:51         0     
