   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
  264.0      894.11     812.79      0.06       0.06       8.45       8.43       -5.0       -5.0        2          2        453000      12:36:43         53    
  264.0      853.36     808.20      0.06       0.06       8.43       8.41       -5.0      -4.98        2          2        447000      12:38:31         69    
  264.0      845.76     810.48      0.06       0.06       8.41       8.39      -4.98      -4.98        2          2        453000      12:40:35         45    
  264.0      826.55     826.55      0.06       0.06       8.39       8.39      -4.98      -4.98        0          0        456000      12:42:15         0     
  264.0      830.77     806.02      0.06       0.06       8.39       8.38      -4.98      -4.99        1          1        456000      12:43:07         24    
  264.0      787.70     787.70      0.06       0.06       8.38       8.38      -4.99      -4.99        0          0        448000      12:44:27         0     
  264.0      839.20     805.98      0.06       0.06       8.38       8.37      -4.99       -5.0        1          1        453000      12:45:21         24    
  264.0      832.81     797.81      0.06       0.06       8.37       8.35       -5.0      -4.98        2          2        453000      12:46:38         69    
  264.0      830.91     821.74      0.06       0.06       8.35       8.35      -4.98      -4.98        0          0        464000      12:48:42         4     
  264.0      835.40     795.35      0.06       0.06       8.35       8.35      -4.98      -4.97        0          0        460000      12:49:41         29    
  264.0      829.94     804.19      0.06       0.06       8.35       8.35      -4.97      -4.97        0          0        466000      12:51:05         4     
  264.0      841.77     791.64      0.06       0.06       8.35       8.34      -4.97      -4.96        1          1        466000      12:52:01         24    
  264.0      810.32     810.32      0.06       0.06       8.34       8.34      -4.96      -4.96        0          0        466000      12:53:18         0     
  354.0      759.68     759.68      0.06       0.06       8.34       8.34      -4.96      -4.96        0          0        469000      12:58:42         0     
  354.0      761.50     761.50      0.06       0.06       8.34       8.34      -4.96      -4.96        0          0        469000      12:59:34         0     
  380.0      772.86     772.86      0.06       0.06       8.34       8.34      -4.96      -4.96        0          0        469000      13:04:35         0     
  390.0      809.10     809.10      0.06       0.06       8.34       8.34      -4.96      -4.96        0          0        462000      13:09:29         0     
  390.0      827.94     795.66      0.06       0.06       8.34       8.33      -4.96      -4.97        1          1        462000      13:10:22         24    
  390.0      808.82     808.82      0.06       0.06       8.33       8.33      -4.97      -4.97        0          0        462000      13:11:39         0     
  424.0      899.07     774.83      0.06       0.06       8.33       8.3       -4.97      -4.94        3          3        462000      13:16:45         65    
  424.0      840.24     795.51      0.06       0.06       8.3        8.29      -4.94      -4.93        1          1        472000      13:18:45         24    
  424.0      793.93     793.93      0.06       0.06       8.29       8.29      -4.93      -4.93        0          0        476000      13:20:04         0     
  424.0      827.99     789.40      0.06       0.06       8.29       8.29      -4.93      -4.92        0          0        476000      13:20:57         33    
