   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
  264.0      912.20     912.20      0.06       0.06       8.05       8.05      -4.99      -4.99        0          0        446000      20:59:44         0     
  264.0      873.19     873.19      0.06       0.06       8.05       8.05      -4.99      -4.99        0          0        449000      21:00:32         0     
  264.0      898.82     898.82      0.06       0.06       8.05       8.05      -4.99      -4.99        0          0        449000      21:01:17         0     
  354.0      927.46     927.46      0.06       0.06       8.05       8.05      -4.99      -4.99        0          0        452000      21:05:40         0     
  354.0      876.32     876.32      0.06       0.06       8.05       8.05      -4.99      -4.99        0          0        452000      21:06:25         0     
  380.0      886.04     886.04      0.06       0.06       8.05       8.05      -4.99      -4.99        0          0        452000      21:10:32         0     
  390.0      894.04     894.04      0.06       0.06       8.05       8.05      -4.99      -4.99        0          0        452000      21:14:43         0     
  424.0      880.40     880.40      0.06       0.06       8.05       8.05      -4.99      -4.99        0          0        452000      21:18:37         0     
