   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
  264.0      843.90     849.79      0.06       0.06       7.95       7.96       -5.0       -5.0        1          1        452000      18:58:40         24    
  264.0      859.51     859.51      0.06       0.06       7.96       7.96       -5.0       -5.0        0          0        458000      18:59:52         0     
  264.0      870.93     870.93      0.06       0.06       7.96       7.96       -5.0       -5.0        0          0        453000      19:00:39         0     
  264.0      852.42     852.42      0.06       0.06       7.96       7.96       -5.0       -5.0        0          0        456000      19:01:26         0     
  264.0      877.85     877.85      0.06       0.06       7.96       7.96       -5.0       -5.0        0          0        456000      19:02:11         0     
  354.0      821.71     855.53      0.06       0.06       7.96       7.96       -5.0       -5.0        0          0        456000      19:06:15         4     
  380.0      839.46     863.41      0.06       0.06       7.96       7.98       -5.0       -5.0        2          2        456000      19:10:19         49    
  380.0      837.80     847.81      0.06       0.06       7.98       7.98       -5.0       -5.0        0          0        456000      19:11:54         4     
  390.0      850.86     850.86      0.06       0.06       7.98       7.98       -5.0       -5.0        0          0        452000      19:16:10         0     
  390.0      837.03     902.54      0.06       0.06       7.98       7.98       -5.0       -5.0        0          0        452000      19:16:55         4     
  424.0      868.64     868.64      0.06       0.06       7.98       7.98       -5.0       -5.0        0          0        452000      19:20:54         0     
