   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810          tsl         lockdu  
  280.0      599.27     599.27      0.06       0.06       8.34       8.34      -5.07      -5.07        0          0         10:31:26         0     
  340.0      612.14     612.14      0.06       0.06       8.34       8.34      -5.07      -5.07        0          0         10:35:49         0     
  355.0      599.84     599.84      0.06       0.06       8.34       8.34      -5.07      -5.07        0          0         10:39:49         0     
  355.0      608.00     608.00      0.06       0.06       8.34       8.34      -5.07      -5.07        0          0         10:40:41         0     
  370.0      573.03     573.03      0.06       0.06       8.34       8.34      -5.07      -5.07        0          0         10:44:52         0     
  385.0      538.53     588.71      0.06       0.06       8.34       8.37      -5.07      -5.08        3          3         10:48:45         65    
  385.0      567.75     567.75      0.06       0.06       8.37       8.37      -5.08      -5.08        0          0         10:50:42         0     
  400.0      544.03     586.00      0.06       0.06       8.37       8.39      -5.08      -5.06        2          2         10:54:29         44    
  400.0      577.73     577.73      0.06       0.06       8.39       8.39      -5.06      -5.06        0          0         10:56:05         0     
  415.0      584.27     584.27      0.06       0.06       8.39       8.39      -5.06      -5.06        0          0         10:59:48         0     
  460.0      568.80     568.80      0.06       0.06       8.39       8.39      -5.06      -5.06        0          0         11:04:06         0     
