   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810          tsl         lockdu  
   395       721.71     750.06      0.06       0.06       8.18       8.19      -4.97      -4.96        1          1      Thu, 09 Mar 2017 18:00:59     24    
   395       763.87     763.87      0.06       0.06       8.19       8.19      -4.96      -4.96        0          0      Thu, 09 Mar 2017 18:01:34     0     
