264.000 151.040 13.868 959.460 30.690
284.000 228.200 18.273 952.030 30.020
304.000 273.430 20.986 942.990 29.990
324.000 388.730 29.599 877.290 28.987
344.000 544.890 28.143 797.950 33.911
354.000 653.000 40.828 742.070 32.213
364.000 773.690 35.901 670.370 23.571
369.000 816.040 50.995 650.470 30.419
374.000 881.620 39.549 622.890 28.271
378.000 876.120 43.347 610.150 26.573
380.000 901.900 36.463 605.340 28.271
382.000 898.730 43.203 605.280 25.052
384.000 901.760 38.777 602.740 25.635
386.000 929.940 39.745 598.980 22.569
388.000 905.230 32.246 597.140 24.823
390.000 904.090 42.895 608.000 28.360
394.000 872.450 41.393 614.180 27.546
399.000 836.760 31.881 641.570 25.870
404.000 766.930 39.638 663.550 25.864
414.000 662.280 35.008 723.110 31.244
424.000 515.120 29.716 811.470 30.714
444.000 349.020 22.312 900.260 34.162
464.000 234.470 19.387 956.430 35.209
484.000 174.940 15.871 993.930 33.233
504.000 139.080 17.426 1002.790 31.666
