295.000 170.021 13.985 1007.411 27.862
315.000 231.219 13.317 973.412 35.026
335.000 308.526 17.863 932.860 25.614
355.000 456.708 21.742 813.989 23.439
360.000 500.816 22.258 797.063 27.631
365.000 541.722 26.577 758.604 24.519
370.000 597.449 31.896 695.688 24.952
375.000 605.547 27.127 673.510 25.446
380.000 656.453 26.749 655.968 20.982
385.000 694.053 25.398 644.773 24.106
390.000 722.958 30.218 627.621 22.616
395.000 728.071 37.925 634.312 23.642
400.000 745.760 27.096 604.737 25.544
405.000 721.656 28.164 609.177 21.143
410.000 701.105 24.078 633.010 21.885
415.000 691.134 32.516 641.875 24.615
420.000 674.000 27.143 677.816 30.959
425.000 606.043 28.193 702.844 25.108
430.000 496.168 27.488 777.663 22.623
435.000 438.271 23.992 802.875 28.361
455.000 307.464 20.058 888.677 25.807
