   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
  264.0      921.22     921.22      0.06       0.06       7.92       7.92       -5.0       -5.0        0          0        465000      17:44:06         0     
  264.0      891.44     891.44      0.06       0.06       7.92       7.92       -5.0       -5.0        0          0        465000      17:44:51         0     
  354.0      849.50     849.50      0.06       0.06       7.92       7.92       -5.0       -5.0        0          0        461000      17:49:23         0     
  354.0      835.64     849.22      0.06       0.06       7.92       7.94       -5.0       -5.0        2          2        461000      17:50:08         45    
  354.0      891.92     891.92      0.06       0.06       7.94       7.94       -5.0       -5.0        0          0        461000      17:51:39         0     
  380.0      872.10     872.10      0.06       0.06       7.94       7.94       -5.0       -5.0        0          0        454000      17:55:39         0     
  380.0      846.36     846.36      0.06       0.06       7.94       7.94       -5.0       -5.0        0          0        454000      17:56:25         0     
  390.0      839.34     861.70      0.06       0.06       7.94       7.95       -5.0       -5.0        1          1        457000      18:00:45         24    
  390.0      842.58     869.31      0.06       0.06       7.95       7.95       -5.0       -5.0        0          0        457000      18:01:55         4     
  424.0      871.43     871.43      0.06       0.06       7.95       7.95       -5.0       -5.0        0          0        451000      18:06:06         0     
  424.0      857.73     857.73      0.06       0.06       7.95       7.95       -5.0       -5.0        0          0        451000      18:06:51         0     
