   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
  264.0      928.31     928.31      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        448000      02:04:52         0     
  264.0      890.66     890.66      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        448000      02:05:37         0     
  354.0      908.62     908.62      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        452000      02:09:52         0     
  354.0      890.08     890.08      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        452000      02:10:37         0     
  380.0      890.45     890.45      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        452000      02:14:48         0     
  390.0      883.26     883.26      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        448000      02:18:55         0     
  390.0      902.87     902.87      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        448000      02:19:40         0     
  424.0      890.54     890.54      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        451000      02:24:02         0     
  424.0      902.23     902.23      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        451000      02:24:47         0     
