   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
  264.0      907.64     907.64      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        443000      23:04:59         0     
  264.0      928.38     928.38      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        451000      23:05:46         0     
  264.0      931.72     931.72      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        451000      23:06:32         0     
  354.0      928.53     928.53      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        454000      23:10:51         0     
  354.0      924.02     924.02      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        454000      23:11:36         0     
  380.0      891.55     891.55      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        449000      23:15:40         0     
  380.0      907.91     907.91      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        449000      23:16:25         0     
  390.0      897.05     897.05      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        452000      23:20:27         0     
  390.0      892.51     892.51      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        452000      23:21:13         0     
  424.0      925.62     925.62      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        452000      23:25:20         0     
