   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
  264.0      505.71     687.65      0.06       0.06       8.28       8.34      -5.01      -5.01        4          4        454000      11:31:50         85    
  264.0      660.92     660.92      0.06       0.06       8.34       8.34      -5.01      -5.01        0          0        454000      11:34:08         0     
  354.0      572.43     672.67      0.06       0.06       8.34       8.38      -5.01      -4.99        3          3        454000      11:40:06         65    
  354.0      672.67     672.67      0.06       0.06       8.38       8.38      -4.99      -4.99        0          0        457000      11:42:06         0     
  354.0      649.05     695.87      0.06       0.06       8.38       8.38      -4.99      -4.99        0          0        457000      11:42:58         4     
  380.0      598.10     672.42      0.06       0.06       8.38       8.41      -4.99      -4.99        3          3        457000      11:48:45         65    
  380.0      676.55     676.55      0.06       0.06       8.41       8.41      -4.99      -4.99        0          0        457000      11:50:43         0     
  390.0      618.47     675.09      0.06       0.06       8.41       8.43      -4.99      -4.99        2          2        457000      11:55:58         45    
  390.0      658.23     658.23      0.06       0.06       8.43       8.43      -4.99      -4.99        0          0        457000      11:57:36         0     
  424.0      646.52     671.68      0.06       0.06       8.43       8.44      -4.99       -5.0        1          1        457000      12:03:33         24    
  424.0      664.47     664.47      0.06       0.06       8.44       8.44       -5.0       -5.0        0          0        452000      12:04:52         0     
  424.0      652.89     686.73      0.06       0.06       8.44       8.45       -5.0       -5.0        1          1        452000      12:05:44         24    
  424.0      661.62     661.62      0.06       0.06       8.45       8.45       -5.0       -5.0        0          0        452000      12:07:01         0     
