   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
  264.0      886.61     886.61      0.06       0.06       8.32       8.32      -4.95      -4.95        0          0        475000      14:37:16         0     
  264.0      870.04     870.04      0.06       0.06       8.32       8.32      -4.95      -4.95        0          0        475000      14:38:01         0     
  354.0      837.23     902.02      0.06       0.06       8.32       8.31      -4.95      -4.94        0          0        475000      14:42:27         12    
  380.0      822.48     864.45      0.06       0.06       8.31       8.29      -4.94      -4.93        1          1        485000      14:46:57         33    
  380.0      894.14     894.14      0.06       0.06       8.29       8.29      -4.93      -4.93        0          0        488000      14:48:18         0     
  380.0      864.85     864.85      0.06       0.06       8.29       8.29      -4.93      -4.93        0          0        488000      14:49:03         0     
  390.0      856.02     884.26      0.05       0.06       8.29       8.28      -4.93      -4.94        1          1        488000      14:53:12         24    
  390.0      864.68     864.68      0.06       0.06       8.28       8.28      -4.94      -4.94        0          0        484000      14:54:23         0     
  390.0      867.27     867.27      0.06       0.06       8.28       8.28      -4.94      -4.94        0          0        484000      14:55:09         0     
