   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
   504       722.43     870.88      0.06       0.06       8.26       8.32      -5.01      -4.99        5          5        441000      14:14:00        106    
   504       884.57     884.57      0.06       0.06       8.32       8.32      -4.99      -4.99        0          0        449000      14:16:34         0     
   504       868.43     868.43      0.06       0.06       8.32       8.32      -4.99      -4.99        0          0        449000      14:17:19         0     
