   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
  264.0      844.51     899.78      0.05       0.06       8.39       8.36      -4.99      -4.98        1          1        483000      12:10:15         41    
  264.0      875.99     875.99      0.06       0.06       8.36       8.36      -4.98      -4.98        0          0        479000      12:11:43         0     
  264.0      884.81     884.81      0.06       0.06       8.36       8.36      -4.98      -4.98        0          0        479000      12:12:28         0     
  354.0      867.91     923.31      0.06       0.06       8.36       8.35      -4.98      -4.97        0          0        482000      12:16:53         12    
  354.0      908.30     908.30      0.06       0.06       8.35       8.35      -4.97      -4.97        0          0        485000      12:17:53         0     
  354.0      892.37     892.37      0.06       0.06       8.35       8.35      -4.97      -4.97        0          0        485000      12:18:38         0     
  380.0      878.72     867.67      0.06       0.06       8.35       8.34      -4.97      -4.97        0          0        485000      12:22:57         13    
  390.0      880.12     921.27      0.06       0.06       8.34       8.32      -4.97      -4.95        0          0        485000      12:27:37         21    
  424.0      869.84     869.84      0.06       0.06       8.32       8.32      -4.95      -4.95        0          0        489000      12:32:17         0     
  424.0      885.37     885.37      0.06       0.06       8.32       8.32      -4.95      -4.95        0          0        489000      12:33:02         0     
