   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810          tsl         lockdu  
  264.0      672.41     626.40      0.06       0.06       8.35       8.36      -5.01      -4.97        0          0         13:20:12        257    
  264.0      671.78     601.00      0.06       0.06       8.36       8.35      -4.97      -4.91        2          2         13:25:24        190    
  264.0      690.11     627.26      0.06       0.06       8.35       8.25      -4.91      -4.85        1          1         13:29:31        820    
  264.0      710.83     611.49      0.06       0.06       8.25       8.17      -4.85      -4.87        5          5         13:44:06        211    
  264.0      666.19     627.60      0.06       0.06       8.17       8.16      -4.87      -4.85        0          0         13:48:32         49    
  264.0      659.58     614.83      0.06       0.06       8.16       8.15      -4.85      -4.84        1          1         13:50:15         24    
  264.0      635.13     635.13      0.06       0.06       8.15       8.15      -4.84      -4.84        0          0         13:51:34         0     
  264.0      666.71     628.74      0.06       0.06       8.15       8.14      -4.84      -4.83        1          1         13:52:26         24    
  264.0      624.88     624.88      0.06       0.06       8.14       8.14      -4.83      -4.83        0          0         13:53:45         0     
  264.0      629.75     629.75      0.06       0.06       8.14       8.14      -4.83      -4.83        0          0         13:54:37         0     
  324.0      667.15     620.29      0.06       0.06       8.14       8.11      -4.83      -4.82        1          1         13:58:54         85    
  324.0      626.09     626.09      0.06       0.06       8.11       8.11      -4.82      -4.82        0          0         14:01:11         0     
  364.0      660.99     616.02      0.06       0.06       8.11       8.07      -4.82      -4.84        1          1         14:05:15         56    
  364.0      626.76     626.76      0.06       0.06       8.07       8.07      -4.84      -4.84        0          0         14:07:05         0     
  364.0      624.08     624.08      0.06       0.06       8.07       8.07      -4.84      -4.84        0          0         14:07:57         0     
  378.0      665.04     629.17      0.06       0.06       8.07       8.03      -4.84      -4.83        2          2         14:11:52        121    
  378.0      633.97     633.97      0.06       0.06       8.03       8.03      -4.83      -4.83        0          0         14:14:46         0     
  384.0      644.80     614.47      0.06       0.06       8.03       8.01      -4.83      -4.83        1          1         14:18:35         37    
  384.0      604.01     604.01      0.06       0.06       8.01       8.01      -4.83      -4.83        0          0         14:20:04         0     
  390.0      642.55     584.49      0.06       0.06       8.01       7.98      -4.83      -4.84        1          1         14:23:55         52    
  390.0      602.00     602.00      0.06       0.06       7.98       7.98      -4.84      -4.84        0          0         14:25:40         0     
  404.0      631.09     631.09      0.06       0.06       7.98       7.98      -4.84      -4.84        0          0         14:29:23         0     
  444.0      651.72     608.79      0.06       0.06       7.98       7.96      -4.84      -4.85        2          2         14:33:16         68    
  444.0      633.47     633.47      0.06       0.06       7.96       7.96      -4.85      -4.85        0          0         14:35:20         0     
  444.0      635.37     635.37      0.06       0.06       7.96       7.96      -4.85      -4.85        0          0         14:36:14         0     
  444.0      686.13     591.02      0.06       0.06       7.96       7.94      -4.85      -4.83        2          2         14:37:07         44    
  444.0      576.81     576.81      0.06       0.06       7.94       7.94      -4.83      -4.83        0          0         14:38:46         0     
  444.0      572.79     564.46      0.06       0.06       7.94       7.92      -4.83      -4.84        0          0         14:39:38         20    
  504.0      596.34     596.34      0.06       0.06       7.92       7.92      -4.84      -4.84        0          0         14:43:44         0     
  504.0      617.34     617.34      0.06       0.06       7.92       7.92      -4.84      -4.84        0          0         14:44:36         0     
