   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
  264.0      884.04     884.04      0.06       0.06       8.5        8.5       -5.05      -5.05        0          0        470000      11:35:54         0     
  354.0      795.78     876.65      0.05       0.06       8.5        8.46      -5.05      -5.02        4          4        470000      11:40:52         86    
  354.0      916.71     916.71      0.06       0.06       8.46       8.46      -5.02      -5.02        0          0        470000      11:43:03         0     
  380.0      837.22     909.94      0.05       0.06       8.46       8.43      -5.02      -4.99        1          1        476000      11:47:15         50    
  380.0      934.11     934.11      0.06       0.06       8.43       8.43      -4.99      -4.99        0          0        479000      11:48:53         0     
  380.0      915.56     915.56      0.06       0.06       8.43       8.43      -4.99      -4.99        0          0        479000      11:49:38         0     
  390.0      884.83     910.48      0.06       0.06       8.43       8.42      -4.99      -4.98        0          0        482000      11:53:44         17    
  390.0      868.87     868.87      0.06       0.06       8.42       8.42      -4.98      -4.98        0          0        485000      11:54:49         0     
  390.0      894.42     894.42      0.06       0.06       8.42       8.42      -4.98      -4.98        0          0        485000      11:55:34         0     
  424.0      839.67     870.87      0.05       0.06       8.42       8.39      -4.98      -4.99        1          1        485000      11:59:53         41    
  424.0      916.29     916.29      0.06       0.06       8.39       8.39      -4.99      -4.99        0          0        480000      12:01:22         0     
  424.0      911.13     911.13      0.06       0.06       8.39       8.39      -4.99      -4.99        0          0        480000      12:02:07         0     
