   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
  264.0      743.48     716.35      0.06       0.06       7.91       7.9       -4.97      -4.98        1          1        474000      16:05:32         24    
  264.0      715.83     715.83      0.06       0.06       7.9        7.9       -4.98      -4.98        0          0        469000      16:06:50         0     
  264.0      700.15     700.15      0.06       0.06       7.9        7.9       -4.98      -4.98        0          0        469000      16:07:42         0     
  354.0      632.75     672.96      0.06       0.06       7.9        7.93      -4.98      -4.98        1          1        461000      16:13:08         69    
  354.0      673.55     673.55      0.06       0.06       7.93       7.93      -4.98      -4.98        0          0        465000      16:15:12         0     
  354.0      643.47     676.77      0.06       0.06       7.93       7.94      -4.98      -4.99        1          1        461000      16:16:06         24    
  354.0      648.71     680.15      0.06       0.06       7.94       7.96      -4.99      -4.99        2          2        461000      16:17:23         44    
  354.0      668.29     668.29      0.06       0.06       7.96       7.96      -4.99      -4.99        0          0        461000      16:19:00         0     
  380.0      566.34     659.65      0.06       0.06       7.96       8.02      -4.99      -4.98        6          6        455000      16:24:28        125    
  380.0      673.20     673.20      0.06       0.06       8.02       8.02      -4.98      -4.98        0          0        461000      16:27:28         0     
  380.0      664.00     664.00      0.06       0.06       8.02       8.02      -4.98      -4.98        0          0        461000      16:28:20         0     
  390.0      578.43     663.85      0.06       0.06       8.02       8.07      -4.98      -4.96        1          1        461000      16:33:22         89    
  390.0      647.46     681.18      0.06       0.06       8.07       8.08      -4.96      -4.95        1          1        461000      16:35:44         24    
  390.0      668.19     668.19      0.06       0.06       8.08       8.08      -4.95      -4.95        0          0        461000      16:37:01         0     
  424.0      560.19     678.35      0.06       0.06       8.08       8.13      -4.95      -4.96        5          5        461000      16:42:32        105    
  424.0      631.94     670.21      0.06       0.06       8.13       8.14      -4.96      -4.95        1          1        461000      16:45:10         24    
  424.0      649.66     660.85      0.06       0.06       8.14       8.14      -4.95      -4.95        0          0        461000      16:46:27         4     
