   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
  264.0      788.79     885.94      0.05       0.06       8.28       8.24      -4.94      -4.93        4          4        491000      15:05:26         86    
  264.0      848.10     848.10      0.06       0.06       8.24       8.24      -4.93      -4.93        0          0        491000      15:07:38         0     
  354.0      833.78     887.64      0.06       0.06       8.24       8.24      -4.93      -4.93        0          0        487000      15:11:48         4     
  354.0      856.21     856.21      0.06       0.06       8.24       8.24      -4.93      -4.93        0          0        491000      15:12:40         0     
  354.0      860.06     860.06      0.06       0.06       8.24       8.24      -4.93      -4.93        0          0        491000      15:13:25         0     
  380.0      842.80     857.90      0.06       0.06       8.24       8.22      -4.93      -4.93        2          2        491000      15:17:23         45    
  380.0      884.34     884.34      0.06       0.06       8.22       8.22      -4.93      -4.93        0          0        487000      15:18:55         0     
  380.0      888.56     888.56      0.06       0.06       8.22       8.22      -4.93      -4.93        0          0        487000      15:19:40         0     
  390.0      889.79     889.79      0.06       0.06       8.22       8.22      -4.93      -4.93        0          0        487000      15:23:33         0     
  424.0      859.79     859.79      0.06       0.06       8.22       8.22      -4.93      -4.93        0          0        487000      15:27:22         0     
