   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
  264.0      919.57     919.57      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        449000      23:51:58         0     
  264.0      943.67     946.93      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        449000      23:52:43         8     
  354.0      930.93     930.93      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        452000      23:57:11         0     
  354.0      940.05     940.05      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        452000      23:57:56         0     
  380.0      926.83     926.83      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        452000      00:02:15         0     
  390.0      942.65     942.65      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        452000      00:06:20         0     
  424.0      937.62     937.62      0.06       0.06       8.04       8.04      -4.98      -4.98        0          0        452000      00:10:18         0     
